,x,y
207,0.158709,0.18887058
208,1.0986948,-1.5937853
209,0.22652376,0.15384303
210,-0.36225653,0.9308206
211,-1.4852391,-1.017898
212,0.20602643,-1.2280487
213,-0.8899581,0.69671994
214,1.5389193,0.78228706
215,1.7826554,-0.34319663
216,0.12817691,1.5180792
217,-1.4751424,0.6830308
218,-1.112438,-1.4760803
219,-0.9768771,-1.6095223
220,1.0296595,-0.07033571
221,1.1016932,-1.5918369
222,-0.6282047,-1.7660182
223,0.39397487,-0.5487097
224,1.7492548,-0.71200705
225,0.18158627,0.14114055
226,0.14282453,-0.1912565
227,-0.1478596,-0.1593336
228,0.4714121,-0.27231687
229,1.4704959,-1.163504
230,-0.040468566,-0.23440176
231,1.4883944,-1.1440178
232,1.8145936,0.0014991856
233,1.7630026,-0.2382134
234,-0.3417721,0.92773527
235,-0.96152693,-0.11039818
236,1.4218074,-0.43920067
237,0.07290793,-0.17757332
238,-0.83722514,-0.44668832
239,-0.54186124,1.4289988
240,0.4711212,0.2768776
241,1.752771,-0.7050709
242,0.74771595,0.74006736
243,-0.42029867,1.4685317
244,0.800585,-1.7583987
245,-1.2189487,0.009282942
246,-0.12178276,-0.17153047
247,-1.3653094,-1.1666564
248,0.008212182,-0.5773528
249,-1.6958135,-0.49930713
250,-0.29803166,-0.4239598
251,0.06991068,-0.17779128
252,0.38979787,-0.5522414
253,-0.6472702,-0.9888957
254,-1.0965521,0.80698633
255,0.5202385,0.26743838
256,-1.2499144,-0.6246509
257,0.77513117,-1.7700217
258,0.17942637,0.13886544
259,-0.08470755,0.84463114
260,0.1297436,-0.16936664
261,-1.6620703,0.07492866
262,0.09352176,-0.3155148
263,-0.028579475,-0.1914669
264,-1.6047217,0.3183463
265,-0.34224775,0.9323599
266,-0.5588196,-1.7953019
267,-0.8098812,-0.7382583
268,-0.125541,-0.76984346
269,0.23179391,-1.2329199
270,0.3613201,-0.55748755
271,1.1540834,1.2355914
272,0.38071266,-0.5526202
273,1.7039946,0.49873537
274,-0.77939934,-1.1786392
275,0.52882165,-1.8494799
276,0.28883258,-0.58368725
277,1.6057608,0.65709203
278,-0.8934358,-1.6251094
279,-1.6420478,-0.19865993
280,-0.62245333,-1.768752
281,1.0419439,-0.103451185
282,0.6286242,-1.8239219
283,0.19355074,0.4676669
284,1.2081442,-0.568427
285,0.15064768,0.124752864
286,1.3197364,0.24603756
287,-0.49313253,-1.254798
288,1.7448694,-0.29056624
289,1.1752994,-0.48155767
290,-0.43216628,0.316506
291,-1.5162529,0.606065
292,0.0927809,-0.98992836
293,0.68921435,0.72784674
